name,date,departure,arrival,time,products,price,weekday,validity,route
ICE_BC_20230111_0623,2023-01-11,06:23,08:16,1:53,['ICE'],57.9,2,1673377200000,BC
ICE_BC_20230111_0823,2023-01-11,08:23,10:15,1:52,['ICE'],57.9,2,1673377200000,BC
ICE_BC_20230111_1025,2023-01-11,10:25,12:15,1:50,['ICE'],57.9,2,1673377200000,BC
ICE_BC_20230111_1225,2023-01-11,12:25,14:15,1:50,['ICE'],49.9,2,1673377200000,BC
ICE_BC_20230111_1425,2023-01-11,14:25,16:15,1:50,['ICE'],57.9,2,1673377200000,BC
ICE_BC_20230111_1622,2023-01-11,16:22,18:15,1:53,['ICE'],49.9,2,1673377200000,BC
ICE_BC_20230111_1825,2023-01-11,18:25,20:15,1:50,['ICE'],49.9,2,1673377200000,BC
ICE_BC_20230112_0623,2023-01-12,06:23,08:16,1:53,['ICE'],49.9,3,1673377200000,BC
ICE_BC_20230112_0823,2023-01-12,08:23,10:15,1:52,['ICE'],49.9,3,1673377200000,BC
ICE_BC_20230112_1025,2023-01-12,10:25,12:15,1:50,['ICE'],49.9,3,1673377200000,BC
ICE_BC_20230112_1225,2023-01-12,12:25,14:15,1:50,['ICE'],49.9,3,1673377200000,BC
ICE_BC_20230112_1425,2023-01-12,14:25,16:15,1:50,['ICE'],57.9,3,1673377200000,BC
ICE_BC_20230112_1622,2023-01-12,16:22,18:15,1:53,['ICE'],57.9,3,1673377200000,BC
ICE_BC_20230112_1825,2023-01-12,18:25,20:15,1:50,['ICE'],49.9,3,1673377200000,BC
ICE_BC_20230113_0623,2023-01-13,06:23,08:16,1:53,['ICE'],35.9,4,1673377200000,BC
ICE_BC_20230113_0823,2023-01-13,08:23,10:15,1:52,['ICE'],49.9,4,1673377200000,BC
ICE_BC_20230113_1025,2023-01-13,10:25,12:15,1:50,['ICE'],57.9,4,1673377200000,BC
ICE_BC_20230113_1225,2023-01-13,12:25,14:15,1:50,['ICE'],49.9,4,1673377260000,BC
ICE_BC_20230113_1425,2023-01-13,14:25,16:15,1:50,['ICE'],57.9,4,1673377260000,BC
ICE_BC_20230113_1622,2023-01-13,16:22,18:15,1:53,['ICE'],49.9,4,1673377260000,BC
ICE_BC_20230113_1825,2023-01-13,18:25,20:15,1:50,['ICE'],49.9,4,1673377260000,BC
ICE_BC_20230114_0623,2023-01-14,06:23,08:16,1:53,['ICE'],35.9,5,1673377260000,BC
ICE_BC_20230114_0825,2023-01-14,08:25,10:15,1:50,['ICE'],39.9,5,1673377260000,BC
ICE_BC_20230114_1025,2023-01-14,10:25,12:15,1:50,['ICE'],49.9,5,1673377260000,BC
ICE_BC_20230114_1225,2023-01-14,12:25,14:15,1:50,['ICE'],49.9,5,1673377260000,BC
ICE_BC_20230114_1425,2023-01-14,14:25,16:15,1:50,['ICE'],39.9,5,1673377260000,BC
ICE_BC_20230114_1625,2023-01-14,16:25,18:15,1:50,['ICE'],35.9,5,1673377260000,BC
ICE_BC_20230114_1825,2023-01-14,18:25,20:15,1:50,['ICE'],35.9,5,1673377260000,BC
ICE_BC_20230115_0623,2023-01-15,06:23,08:16,1:53,['ICE'],35.9,6,1673377260000,BC
ICE_BC_20230115_0825,2023-01-15,08:25,10:15,1:50,['ICE'],35.9,6,1673377260000,BC
ICE_BC_20230115_1025,2023-01-15,10:25,12:15,1:50,['ICE'],49.9,6,1673377260000,BC
ICE_BC_20230115_1225,2023-01-15,12:25,14:15,1:50,['ICE'],57.9,6,1673377260000,BC
ICE_BC_20230115_1425,2023-01-15,14:25,16:15,1:50,['ICE'],57.9,6,1673377260000,BC
ICE_BC_20230115_1625,2023-01-15,16:25,18:15,1:50,['ICE'],57.9,6,1673377260000,BC
ICE_BC_20230115_1825,2023-01-15,18:25,20:15,1:50,['ICE'],39.9,6,1673377260000,BC
ICE_BC_20230115_2025,2023-01-15,20:25,22:14,1:49,['ICE'],33.9,6,1673377320000,BC
ICE_BC_20230116_0623,2023-01-16,06:23,08:16,1:53,['ICE'],35.9,0,1673377320000,BC
ICE_BC_20230116_0823,2023-01-16,08:23,10:15,1:52,['ICE'],57.9,0,1673377320000,BC
ICE_BC_20230116_1025,2023-01-16,10:25,12:15,1:50,['ICE'],39.9,0,1673377320000,BC
ICE_BC_20230116_1225,2023-01-16,12:25,14:15,1:50,['ICE'],49.9,0,1673377320000,BC
ICE_BC_20230116_1425,2023-01-16,14:25,16:15,1:50,['ICE'],49.9,0,1673377320000,BC
ICE_BC_20230116_1622,2023-01-16,16:22,18:15,1:53,['ICE'],39.9,0,1673377320000,BC
ICE_BC_20230116_1825,2023-01-16,18:25,20:15,1:50,['ICE'],39.9,0,1673377320000,BC
ICE_BC_20230117_0623,2023-01-17,06:23,08:16,1:53,['ICE'],35.9,1,1673377320000,BC
ICE_BC_20230117_0823,2023-01-17,08:23,10:15,1:52,['ICE'],35.9,1,1673377320000,BC
ICE_BC_20230117_1025,2023-01-17,10:25,12:15,1:50,['ICE'],35.9,1,1673377320000,BC
ICE_BC_20230117_1225,2023-01-17,12:25,14:15,1:50,['ICE'],39.9,1,1673377320000,BC
ICE_BC_20230117_1425,2023-01-17,14:25,16:15,1:50,['ICE'],39.9,1,1673377320000,BC
ICE_BC_20230117_1622,2023-01-17,16:22,18:15,1:53,['ICE'],39.9,1,1673377320000,BC
ICE_BC_20230117_1825,2023-01-17,18:25,20:15,1:50,['ICE'],35.9,1,1673377320000,BC
ICE_BC_20230118_0623,2023-01-18,06:23,08:16,1:53,['ICE'],33.9,2,1673377320000,BC
ICE_BC_20230118_0823,2023-01-18,08:23,10:15,1:52,['ICE'],35.9,2,1673377320000,BC
ICE_BC_20230118_1025,2023-01-18,10:25,12:15,1:50,['ICE'],35.9,2,1673377380000,BC
ICE_BC_20230118_1225,2023-01-18,12:25,14:15,1:50,['ICE'],33.9,2,1673377380000,BC
ICE_BC_20230118_1425,2023-01-18,14:25,16:15,1:50,['ICE'],35.9,2,1673377380000,BC
ICE_BC_20230118_1622,2023-01-18,16:22,18:15,1:53,['ICE'],35.9,2,1673377380000,BC
ICE_BC_20230118_1825,2023-01-18,18:25,20:15,1:50,['ICE'],35.9,2,1673377380000,BC
ICE_BC_20230119_0623,2023-01-19,06:23,08:16,1:53,['ICE'],35.9,3,1673377380000,BC
ICE_BC_20230119_0823,2023-01-19,08:23,10:15,1:52,['ICE'],35.9,3,1673377380000,BC
ICE_BC_20230119_1025,2023-01-19,10:25,12:15,1:50,['ICE'],33.9,3,1673377380000,BC
ICE_BC_20230119_1225,2023-01-19,12:25,14:15,1:50,['ICE'],35.9,3,1673377380000,BC
ICE_BC_20230119_1425,2023-01-19,14:25,16:15,1:50,['ICE'],39.9,3,1673377380000,BC
ICE_BC_20230119_1622,2023-01-19,16:22,18:15,1:53,['ICE'],49.9,3,1673377380000,BC
ICE_BC_20230119_1825,2023-01-19,18:25,20:15,1:50,['ICE'],35.9,3,1673377380000,BC
ICE_BC_20230120_0623,2023-01-20,06:23,08:16,1:53,['ICE'],33.9,4,1673377380000,BC
ICE_BC_20230120_0823,2023-01-20,08:23,10:15,1:52,['ICE'],39.9,4,1673377380000,BC
ICE_BC_20230120_1025,2023-01-20,10:25,12:15,1:50,['ICE'],33.9,4,1673377380000,BC
